Program,Variant,Threads,Number of nodes,Minimum path length,Maximum path length,Average path length,Maximum parallelized threads,Paths after VertexDisjointCover,Deadlocks after VertexDisjointCover
BinaryTree16,JoinedVertexDisjointPaths,14,79,1,25,5.642857142857143,3,16,2
BinaryTree16,OneNodePaths,79,79,1,1,1,16,,
BinaryTree16,SplitVertexDisjointPaths,18,79,1,12,4.388888888888889,3,16,2
BinaryTreeScl128,JoinedVertexDisjointPaths,64,127,1,7,1.984375,32,64,0
BinaryTreeScl128,OneNodePaths,127,127,1,1,1,64,,
BinaryTreeScl128,SplitVertexDisjointPaths,64,127,1,7,1.984375,32,64,0
BitonicSort4,JoinedVertexDisjointPaths,4,72,1,52,18,2,22,49
BitonicSort4,OneNodePaths,72,72,1,1,1,10,,
BitonicSort4,SplitVertexDisjointPaths,37,72,1,6,1.945945945945946,4,22,49
FastFourierTransformArrGlb8,JoinedVertexDisjointPaths,24,354,1,180,14.75,13,38,33
FastFourierTransformArrGlb8,OneNodePaths,354,354,1,1,1,30,,
FastFourierTransformArrGlb8,SplitVertexDisjointPaths,53,354,1,27,6.679245283018868,14,38,33
FastFourierTransformSclGlb8,JoinedVertexDisjointPaths,4,67,1,59,16.75,2,14,68
FastFourierTransformSclGlb8,OneNodePaths,67,67,1,1,1,11,,
FastFourierTransformSclGlb8,SplitVertexDisjointPaths,28,67,1,6,2.392857142857143,5,14,68
FirstExample,JoinedVertexDisjointPaths,3,8,1,4,2.6666666666666665,1,3,0
FirstExample,OneNodePaths,8,8,1,1,1,3,,
FirstExample,SplitVertexDisjointPaths,3,8,1,4,2.6666666666666665,1,3,0
MatrixMult,JoinedVertexDisjointPaths,9,61,1,32,6.777777777777778,4,14,3
MatrixMult,OneNodePaths,61,61,1,1,1,12,,
MatrixMult,SplitVertexDisjointPaths,15,61,1,7,4.066666666666666,4,14,3
MatrixMultCannon2,JoinedVertexDisjointPaths,10,49,2,9,4.9,2,11,1
MatrixMultCannon2,OneNodePaths,49,49,1,1,1,10,,
MatrixMultCannon2,SplitVertexDisjointPaths,12,49,2,6,4.083333333333333,3,11,1
MatrixMultCannon4,JoinedVertexDisjointPaths,57,389,1,52,6.824561403508772,20,75,19
MatrixMultCannon4,OneNodePaths,389,389,1,1,1,60,,
MatrixMultCannon4,SplitVertexDisjointPaths,85,389,1,10,4.576470588235294,24,75,19
MatrixMultCannonArr2,JoinedVertexDisjointPaths,12,56,1,26,4.666666666666667,5,16,4
MatrixMultCannonArr2,OneNodePaths,56,56,1,1,1,12,,
MatrixMultCannonArr2,SplitVertexDisjointPaths,19,56,1,7,2.9473684210526314,5,16,4
RadixBAddCarryLookahead4,JoinedVertexDisjointPaths,68,288,1,161,4.235294117647059,48,96,82
RadixBAddCarryLookahead4,OneNodePaths,288,288,1,1,1,89,,
RadixBAddCarryLookahead4,SplitVertexDisjointPaths,116,288,1,25,2.4827586206896552,49,96,82
RadixBMulDadda,JoinedVertexDisjointPaths,117,607,1,70,5.188034188034188,31,134,19
RadixBMulDadda,OneNodePaths,607,607,1,1,1,121,,
RadixBMulDadda,SplitVertexDisjointPaths,143,607,1,18,4.244755244755245,32,134,19
TransHull,JoinedVertexDisjointPaths,6,73,4,41,12.166666666666666,2,11,4
TransHull,OneNodePaths,73,73,1,1,1,6,,
TransHull,SplitVertexDisjointPaths,15,73,1,13,4.866666666666666,4,11,4
